dtype,method,repeat,size,block_size,input_scale,scaled_result,result,fp64_reference,reference_basis,absolute_error,relative_error,elapsed_ms,status,reason
float32,forward,6,4096,,0.0067644241528043705,1879.3760986328125,277832.385459399,277832.45838248613,dtype_quantized_input,0.0729230871074833,2.6247144603634327e-07,2.9173329967306927,ok,
float32,forward,7,4096,,0.0067644241528043705,1879.3760986328125,277832.385459399,277832.45838248613,dtype_quantized_input,0.0729230871074833,2.6247144603634327e-07,2.9371669952524826,ok,
float32,forward,8,4096,,0.0067644241528043705,1879.3760986328125,277832.385459399,277832.45838248613,dtype_quantized_input,0.0729230871074833,2.6247144603634327e-07,2.96100000559818,ok,
float32,forward,9,4096,,0.0067644241528043705,1879.3760986328125,277832.385459399,277832.45838248613,dtype_quantized_input,0.0729230871074833,2.6247144603634327e-07,2.9488750005839393,ok,
float32,forward,10,4096,,0.0067644241528043705,1879.3760986328125,277832.385459399,277832.45838248613,dtype_quantized_input,0.0729230871074833,2.6247144603634327e-07,2.8727500030072406,ok,
float32,reverse,1,4096,,0.0067644241528043705,1879.38037109375,277833.0170668856,277832.45838248613,dtype_quantized_input,0.558684399467893,2.0108679983631135e-06,3.001834003953263,ok,
float32,reverse,2,4096,,0.0067644241528043705,1879.38037109375,277833.0170668856,277832.45838248613,dtype_quantized_input,0.558684399467893,2.0108679983631135e-06,2.936082993983291,ok,
float32,reverse,3,4096,,0.0067644241528043705,1879.38037109375,277833.0170668856,277832.45838248613,dtype_quantized_input,0.558684399467893,2.0108679983631135e-06,2.9637080006068572,ok,
float32,reverse,4,4096,,0.0067644241528043705,1879.38037109375,277833.0170668856,277832.45838248613,dtype_quantized_input,0.558684399467893,2.0108679983631135e-06,3.0629579996457323,ok,
float32,reverse,5,4096,,0.0067644241528043705,1879.38037109375,277833.0170668856,277832.45838248613,dtype_quantized_input,0.558684399467893,2.0108679983631135e-06,2.9390829877229407,ok,
float32,reverse,6,4096,,0.0067644241528043705,1879.38037109375,277833.0170668856,277832.45838248613,dtype_quantized_input,0.558684399467893,2.0108679983631135e-06,3.116583000519313,ok,
float32,reverse,7,4096,,0.0067644241528043705,1879.38037109375,277833.0170668856,277832.45838248613,dtype_quantized_input,0.558684399467893,2.0108679983631135e-06,2.9636249964823946,ok,
float32,reverse,8,4096,,0.0067644241528043705,1879.38037109375,277833.0170668856,277832.45838248613,dtype_quantized_input,0.558684399467893,2.0108679983631135e-06,3.06941699818708,ok,
float32,reverse,9,4096,,0.0067644241528043705,1879.38037109375,277833.0170668856,277832.45838248613,dtype_quantized_input,0.558684399467893,2.0108679983631135e-06,2.993458998389542,ok,
float32,reverse,10,4096,,0.0067644241528043705,1879.38037109375,277833.0170668856,277832.45838248613,dtype_quantized_input,0.558684399467893,2.0108679983631135e-06,2.984082995681092,ok,
float32,blocked,1,4096,128,0.0067644241528043705,1879.376708984375,277832.47568904,277832.45838248613,dtype_quantized_input,0.017306553840171546,6.229133176493719e-08,3.032624998013489,ok,
float32,blocked,2,4096,128,0.0067644241528043705,1879.376708984375,277832.47568904,277832.45838248613,dtype_quantized_input,0.017306553840171546,6.229133176493719e-08,3.107625001575798,ok,
float32,blocked,3,4096,128,0.0067644241528043705,1879.376708984375,277832.47568904,277832.45838248613,dtype_quantized_input,0.017306553840171546,6.229133176493719e-08,3.001374992891215,ok,
float32,blocked,4,4096,128,0.0067644241528043705,1879.376708984375,277832.47568904,277832.45838248613,dtype_quantized_input,0.017306553840171546,6.229133176493719e-08,3.0165409989422187,ok,
float32,blocked,5,4096,128,0.0067644241528043705,1879.376708984375,277832.47568904,277832.45838248613,dtype_quantized_input,0.017306553840171546,6.229133176493719e-08,3.099082998232916,ok,
float32,blocked,6,4096,128,0.0067644241528043705,1879.376708984375,277832.47568904,277832.45838248613,dtype_quantized_input,0.017306553840171546,6.229133176493719e-08,2.958915996714495,ok,
float32,blocked,7,4096,128,0.0067644241528043705,1879.376708984375,277832.47568904,277832.45838248613,dtype_quantized_input,0.017306553840171546,6.229133176493719e-08,3.0822080007055774,ok,
float32,blocked,8,4096,128,0.0067644241528043705,1879.376708984375,277832.47568904,277832.45838248613,dtype_quantized_input,0.017306553840171546,6.229133176493719e-08,3.0040419951546937,ok,
float32,blocked,9,4096,128,0.0067644241528043705,1879.376708984375,277832.47568904,277832.45838248613,dtype_quantized_input,0.017306553840171546,6.229133176493719e-08,2.981208002893254,ok,
float32,blocked,10,4096,128,0.0067644241528043705,1879.376708984375,277832.47568904,277832.45838248613,dtype_quantized_input,0.017306553840171546,6.229133176493719e-08,3.144832997350022,ok,
float32,random,1,4096,,0.0067644241528043705,1879.378173828125,277832.69224017824,277832.45838248613,dtype_quantized_input,0.23385769210290164,8.417219984461091e-07,3.2447499979753047,ok,
float32,random,2,4096,,0.0067644241528043705,1879.378173828125,277832.69224017824,277832.45838248613,dtype_quantized_input,0.23385769210290164,8.417219984461091e-07,3.2018749916460365,ok,
float32,random,3,4096,,0.0067644241528043705,1879.378173828125,277832.69224017824,277832.45838248613,dtype_quantized_input,0.23385769210290164,8.417219984461091e-07,3.27166699571535,ok,
float32,random,4,4096,,0.0067644241528043705,1879.378173828125,277832.69224017824,277832.45838248613,dtype_quantized_input,0.23385769210290164,8.417219984461091e-07,3.193999989889562,ok,
float32,random,5,4096,,0.0067644241528043705,1879.378173828125,277832.69224017824,277832.45838248613,dtype_quantized_input,0.23385769210290164,8.417219984461091e-07,3.235875003156252,ok,
float32,random,6,4096,,0.0067644241528043705,1879.378173828125,277832.69224017824,277832.45838248613,dtype_quantized_input,0.23385769210290164,8.417219984461091e-07,3.246874999604188,ok,
float32,random,7,4096,,0.0067644241528043705,1879.378173828125,277832.69224017824,277832.45838248613,dtype_quantized_input,0.23385769210290164,8.417219984461091e-07,3.1215420021908358,ok,
float32,random,8,4096,,0.0067644241528043705,1879.378173828125,277832.69224017824,277832.45838248613,dtype_quantized_input,0.23385769210290164,8.417219984461091e-07,3.419625005335547,ok,
float32,random,9,4096,,0.0067644241528043705,1879.378173828125,277832.69224017824,277832.45838248613,dtype_quantized_input,0.23385769210290164,8.417219984461091e-07,3.160084001137875,ok,
